date,parlay,bookie,sport,selection,bet_type,capper,competition,extra_info,event,live,score,units,odd,free_bet,result,lucro_unidade,lucro_monetario,unidade_vigente
2025-03-20,S,,,João Fonseca,ML,,ATP Tour,Miami 1000 - R128,João Fonseca v Learner Tien,N,2-1,,,N,w,,,
2025-03-21,N,Superbet,Tenis,2 seleções,Dupla,,,,,N,,1.0,1.6625,N,W,0.6625,9.94,15.0
2025-03-21,S,,,Felix Auger-Aliassime,ML,,ATP Tour,Miami 1000 - R64,Tristan Schoolkate v Felix Auger-Aliassime,N,0-2,,,N,w,,,
2025-03-21,S,,,Brandon Nakashima,ML,,ATP Tour,Miami 1000 - R64,Brandon Nakashima v Roberto Carballés Baena,N,2-1,,,N,w,,,
2025-03-21,N,Superbet,Tenis,Victoria Mboko,ML,,WTA Tour,Miami 1000 - R64,Victoria Mboko v Paula Badosa,Y,1-2 (1-1 4-5),0.466667,3.0,N,L,-0.47,-7.05,15.0
2025-03-21,N,Betano,Tenis,Belinda Bencic,ML,Bonfa,WTA Tour,Miami 1000 - R64,Belinda Bencic v Elina Svitolina,N,0-2,1.0,1.62,N,L,-1.0,-15.0,15.0
2025-03-21,N,bet365,Futebol,1° tempo - Over 0.5,O/U gols no tempo,Arbitrage,Eliminatórias,Liga,Uruguai v Argentina,N,0-1,4.666667,2.1,N,L,-4.67,-70.05,15.0
2025-03-21,N,betfair,Futebol,1° tempo - Under 0.5,O/U gols no tempo,Arbitrage,Eliminatórias,Liga,Uruguai v Argentina,N,0-1,3.213333,2.15,Y,W,3.7,55.5,15.0
2025-03-21,N,betfair,Futebol,1° tempo - Under 0.5,O/U gols no tempo,Arbitrage,Eliminatórias,Liga,Uruguai v Argentina,N,0-1,2.8,2.15,N,W,3.22,48.3,15.0
2025-03-22,N,betfair,Tenis,Kimmer Coppejans,ML,Bonfa,Challenger Tour,Murcia 75 - SF,Carlos Taberner v Kimmer Coppejans,N,2-1,1.0,1.95,N,L,-1.0,-15.0,15.0
2025-03-22,N,Betano,Tenis,1° set - Over 10.5,O/U games,Sam Culmer,ATP Tour,Miami 1000 - R64,Jordan Thompson v Giovanni Mpetshi Perricard,N,2-0,1.0,1.95,N,W,0.95,14.25,15.0
2025-03-22,N,Betano,Tenis,Criar Aposta,Dupla,,ATP Tour,Miami 1000 - R64,Jakub Mensik v Jack Draper,N,2-0,0.333333,6.7,Y,W,1.9,28.5,15.0
2025-03-22,S,,,1° set - Jakub Mensik,Set ML,,,,,N,,,,N,w,,,15.0
2025-03-22,S,,,1° set - Over 10.5 games,O/U games,,,,,N,,,,N,w,,,15.0
2025-03-22,N,betfair,Tenis,1° set - Linda Fruhvirtova,Set ML,Sam Culmer,WTA Tour,Miami 1000 - R32,Magda Linette v Linda Fruhvirtova,N,2-0,1.0,2.4,N,L,-1.0,-15.00,15.0
2025-03-22,N,bet365,Tenis,Criar Aposta,Dupla,,ATP Tour,Miami 1000 - R64,João Fonseca v Ugo Humbert,N,2-0,1.0,2.5,Y,W,1.5,22.50,15.0
2025-03-22,S,,,João Fonseca +1.5,Handicap Asiático,,,,,N,,,,N,w,,,15.0
2025-03-22,S,,,João Fonseca - Over 4.5,O/U aces,,,,,N,,,,N,w,,,15.0
2025-03-23,N,betfair,Tenis,1° set - Over 10.5,O/U games,Sam Culmer,ATP Tour,Miami 1000 - R32,Grigor Dimitrov v Karen Khachanov,N,2-1,1.0,2.63,Y,W,1.63,24.45,15.0
2025-03-23,N,Superbet,Tenis,Over 22.5,O/U games,Sam Culmer,WTA Tour,Miami 1000 - R32,Clara Tauson v Paula Badosa,N,0-2,1.0,2.05,N,L,-1.0,-15.00,15.0
2025-03-23,N,Betano,Futebol,Criar Aposta,Dupla,,Nations League,QF,Espanha v Países Baixos,N,2-2,0.666667,3.45,N,L,-0.67,-10.00,15.0
